"Date","Price","Open","High","Low","Vol.","Change %"
"26-12-2023","325.40","328.55","331.40","325.00","11.31M","-0.38%"
"22-12-2023","326.65","331.00","332.00","323.55","15.18M","-0.58%"
"21-12-2023","328.55","318.00","330.70","312.70","26.39M","2.62%"
"20-12-2023","320.15","336.70","346.90","318.00","40.68M","-4.69%"
"19-12-2023","335.90","338.50","338.50","330.45","11.71M","-0.34%"
"18-12-2023","337.05","339.00","340.30","334.40","15.56M","1.16%"
"15-12-2023","333.20","337.40","338.50","331.80","17.08M","-0.66%"
"14-12-2023","335.40","340.90","341.90","335.00","16.56M","-0.81%"
"13-12-2023","338.15","332.10","340.50","329.75","33.63M","2.22%"
"12-12-2023","330.80","335.00","335.00","327.60","22.63M","-0.85%"
"11-12-2023","333.65","325.40","335.30","322.35","40.35M","3.12%"
"08-12-2023","323.55","331.95","335.95","318.10","74.99M","-0.69%"
"07-12-2023","325.80","295.00","332.15","292.15","152.38M","10.76%"
"06-12-2023","294.15","281.55","298.60","280.20","45.93M","4.49%"
"05-12-2023","281.50","283.00","283.20","276.50","21.57M","-0.02%"
"04-12-2023","281.55","285.00","286.00","278.90","28.89M","2.01%"
"01-12-2023","276.00","270.00","278.50","268.55","32.16M","3.02%"
"30-11-2023","267.90","273.00","273.00","265.10","20.40M","-2.01%"
"29-11-2023","273.40","275.00","275.70","271.50","26.39M","0.96%"
"28-11-2023","270.80","259.40","271.40","258.50","24.75M","4.90%"
"24-11-2023","258.15","261.40","261.90","257.05","7.15M","-1.00%"
"23-11-2023","260.75","262.10","263.75","259.80","5.47M","-0.52%"
"22-11-2023","262.10","263.40","263.60","259.25","4.54M","-0.21%"
"21-11-2023","262.65","263.75","265.40","260.75","6.93M","0.69%"
"20-11-2023","260.85","263.85","264.40","260.10","4.86M","-0.69%"
"17-11-2023","262.65","262.90","264.95","261.40","6.45M","0.08%"
"16-11-2023","262.45","259.40","265.50","259.35","13.55M","1.25%"
"15-11-2023","259.20","259.20","262.25","258.10","8.44M","0.84%"
"13-11-2023","257.05","252.75","258.50","251.25","10.25M","1.54%"
"12-11-2023","253.15","253.00","253.60","252.95","2.57M","0.70%"
"10-11-2023","251.40","248.00","251.85","246.85","6.97M","1.37%"
"09-11-2023","248.00","254.00","254.00","247.20","15.39M","-2.73%"
"08-11-2023","254.95","252.90","256.35","251.50","13.13M","2.06%"
