"Date","Price","Open","High","Low","Vol.","Change %"
"12-07-2024","343.10","342.80","345.90","340.10","11.38M","0.09%"
"11-07-2024","342.80","348.50","348.75","342.00","12.64M","-0.94%"
"10-07-2024","346.05","343.00","347.80","335.50","10.66M","1.44%"
"09-07-2024","341.15","340.00","342.35","338.10","9.21M","0.52%"
"08-07-2024","339.40","341.00","341.00","336.85","7.83M","0.00%"
"05-07-2024","339.40","335.00","339.90","332.85","10.89M","1.31%"
"04-07-2024","335.00","337.00","338.70","333.90","12.88M","-0.04%"
"03-07-2024","335.15","331.10","336.90","329.10","9.37M","1.31%"
"02-07-2024","330.80","330.05","334.40","328.05","12.68M","0.36%"
"01-07-2024","329.60","331.00","331.75","325.25","11.96M","-0.41%"
"28-06-2024","330.95","333.00","337.35","329.60","21.68M","-0.18%"
"27-06-2024","331.55","328.55","332.50","324.35","27.06M","1.48%"
"26-06-2024","326.70","325.70","330.20","324.95","12.95M","-0.21%"
"25-06-2024","327.40","335.00","335.00","325.80","13.98M","-1.67%"
"24-06-2024","332.95","323.10","334.00","322.55","18.04M","2.15%"
"21-06-2024","325.95","326.70","329.60","323.00","17.21M","0.43%"
"20-06-2024","324.55","327.50","328.30","322.30","11.75M","-0.84%"
"19-06-2024","327.30","334.00","334.85","325.40","14.24M","-1.36%"
"18-06-2024","331.80","322.00","332.50","322.00","21.65M","3.20%"
"14-06-2024","321.50","326.00","326.00","319.35","14.16M","0.02%"
"13-06-2024","321.45","327.00","327.95","320.65","11.76M","-0.99%"
"12-06-2024","324.65","319.90","327.10","316.90","20.35M","2.56%"
"11-06-2024","316.55","316.20","319.70","315.15","12.24M","0.24%"
"10-06-2024","315.80","313.00","323.35","311.60","25.48M","2.09%"
"07-06-2024","309.35","298.05","310.65","296.80","38.02M","2.96%"
"06-06-2024","300.45","303.40","311.45","298.10","36.51M","0.55%"
"05-06-2024","298.80","296.30","301.05","279.20","45.31M","0.96%"
"04-06-2024","295.95","334.95","334.95","279.75","73.26M","-12.35%"
"03-06-2024","337.65","335.00","348.70","325.60","55.22M","8.92%"
"31-05-2024","310.00","308.55","311.50","305.70","36.93M","1.08%"
"30-05-2024","306.70","314.60","317.65","303.80","22.77M","-3.46%"
"29-05-2024","317.70","309.10","318.70","309.10","16.81M","1.57%"
"28-05-2024","312.80","319.00","319.50","312.00","10.94M","-1.62%"
"27-05-2024","317.95","321.50","321.50","314.50","12.86M","-0.27%"
"24-05-2024","318.80","318.00","322.95","317.40","15.06M","-0.34%"
"23-05-2024","319.90","319.45","320.70","309.00","35.71M","-1.80%"
"22-05-2024","325.75","327.75","327.75","320.20","10.29M","0.03%"
"21-05-2024","325.65","311.00","327.45","311.00","21.98M","2.76%"
"18-05-2024","316.90","315.85","318.25","315.00","1.51M","1.20%"
"17-05-2024","313.15","314.90","316.00","310.75","9.07M","0.21%"
"16-05-2024","312.50","314.50","315.60","305.30","19.84M","-0.75%"
"15-05-2024","314.85","310.00","316.30","308.85","11.40M","1.81%"
"14-05-2024","309.25","308.00","313.00","307.75","9.96M","0.88%"
"13-05-2024","306.55","304.20","307.65","297.60","11.71M","0.92%"
"10-05-2024","303.75","296.25","304.45","296.25","11.79M","2.57%"
"09-05-2024","296.15","302.75","304.35","295.25","11.20M","-1.94%"
"08-05-2024","302.00","292.00","302.85","292.00","18.75M","2.29%"
"07-05-2024","295.25","307.00","308.30","294.50","13.86M","-3.78%"
"06-05-2024","306.85","310.20","310.80","303.10","16.86M","-1.29%"
"03-05-2024","310.85","312.00","316.10","308.25","27.07M","-0.88%"
"02-05-2024","313.60","301.95","317.25","301.85","44.06M","3.89%"
"30-04-2024","301.85","293.70","304.35","293.05","33.29M","2.77%"
"29-04-2024","293.70","292.30","294.60","289.60","9.80M","0.50%"
"26-04-2024","292.25","294.25","296.15","291.45","15.58M","-0.36%"
"25-04-2024","293.30","292.00","294.50","289.25","22.02M","1.00%"
"24-04-2024","290.40","285.00","291.85","284.40","19.32M","1.77%"
"23-04-2024","285.35","283.65","287.15","280.70","11.46M","0.60%"
"22-04-2024","283.65","284.00","284.70","281.70","14.97M","0.71%"
"19-04-2024","281.65","278.10","282.25","274.70","18.76M","0.55%"
"18-04-2024","280.10","287.90","289.90","277.70","51.04M","2.13%"
"16-04-2024","274.25","273.00","275.55","271.25","9.66M","0.07%"
"15-04-2024","274.05","270.25","276.20","268.40","13.38M","-0.44%"
"12-04-2024","275.25","281.50","284.45","274.65","17.73M","-2.58%"
"10-04-2024","282.55","280.00","285.35","280.00","8.81M","0.48%"
"09-04-2024","281.20","282.85","284.35","281.00","5.78M","-0.20%"
"08-04-2024","281.75","280.55","284.20","279.05","14.47M","1.20%"
"05-04-2024","278.40","279.95","279.95","275.15","9.31M","0.27%"
"04-04-2024","277.65","282.80","286.70","275.05","23.72M","-0.87%"
"03-04-2024","280.10","280.15","283.10","278.55","14.50M","0.20%"
"02-04-2024","279.55","279.25","281.70","278.50","13.23M","-0.21%"
"01-04-2024","280.15","280.75","281.60","277.65","8.95M","1.17%"
"28-03-2024","276.90","272.00","279.50","271.65","26.65M","2.46%"
"27-03-2024","270.25","271.00","272.80","269.20","18.09M","0.07%"
"26-03-2024","270.05","270.10","274.10","266.10","28.48M","-2.07%"
"22-03-2024","275.75","273.75","278.25","271.35","22.10M","0.73%"
"21-03-2024","273.75","267.80","274.50","267.10","23.56M","3.44%"
"20-03-2024","264.65","259.95","265.15","258.95","11.31M","2.18%"
"19-03-2024","259.00","262.15","266.50","258.30","20.03M","-2.23%"
"18-03-2024","264.90","265.95","266.65","259.50","12.42M","-0.39%"
"15-03-2024","265.95","268.10","272.00","257.65","43.82M","-0.15%"
"14-03-2024","266.35","264.05","268.40","260.70","26.01M","0.78%"
"13-03-2024","264.30","283.30","283.90","261.80","39.39M","-7.31%"
"12-03-2024","285.15","284.90","288.65","282.75","17.91M","-0.14%"
"11-03-2024","285.55","288.40","291.95","284.40","19.02M","-2.43%"
"07-03-2024","292.65","294.00","298.90","291.00","14.91M","-0.36%"
"06-03-2024","293.70","290.30","294.90","286.50","15.97M","-0.44%"
"05-03-2024","295.00","292.05","295.45","289.75","13.22M","0.12%"
"04-03-2024","294.65","288.00","297.00","288.00","23.13M","2.72%"
"02-03-2024","286.85","288.45","288.65","286.20","494.39K","-0.30%"
